origName,geoName,reference
#
# Match country names with GeoName.org names
#
Burma,Myanmar,
Cape Verde,Cabo Verde,
Congo (Kinshasa),Democratic Republic of the Congo,Country,
Congo (Brazzaville),Republic of the Congo,Country,
Congo-Brazzaville,Republic of the Congo,Country,
Cote d'Ivoire,Ivory Coast,
Côte d'Ivoire,Ivory Coast,
Czech Republic,Czechia,https://en.wikipedia.org/wiki/Czech_Republic
East Timor,Timor Leste,
Holy See,Vatican,
"Korea, South",South Korea,
Macau,Macao,
Metropolitan France,France,
Palestinian Territories,Palestinian Territory,
Puerto_Rico,Puerto Rico,
The Bahamas,Bahamas,
The Gambia,Gambia,
Sahrawi Arab Democratic Republic,Morocco,"not present in GeoNames.org, assigned to Morocco https://en.wikipedia.org/wiki/Sahrawi_Arab_Democratic_Republic"
"Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",
United States Virgin Islands,U.S. Virgin Islands,
"USA","United States",
"US","United States",
Vatican City,Vatican,
#
# Standardize first order administrative divisions
#
"Australia,NSW","Australia,New South Wales",https://en.wikipedia.org/wiki/New_South_Wales
"Belgium,Brussels","Belgium,Brussels Capital",
"Belgium,Brussel Capital Capitals","Belgium,Brussels Capital",
"China,Ningxia","China,Ningxia Hui Autonomous Region",
"Croatia,Varaždin County","Croatia,Varazdinska",https://en.wikipedia.org/wiki/Vara%C5%BEdin_County
"Gambia,West Coast Region","Gambia,Western",https://en.wikipedia.org/wiki/Districts_of_the_Gambia
"Germany,Niedersachsen","Germany,Lower Saxony",
"France,Bourgogne-France-Comté","France,Bourgogne-Franche-Comte",https://en.wikipedia.org/wiki/Bourgogne-Franche-Comt%C3%A9
"France,Bretagne","France,Brittany",https://en.wikipedia.org/wiki/Brittany
"France,IDF","France,Ile-de-France",https://en.wikipedia.org/wiki/%C3%8Ele-de-France
"France,Rhone-Alpes","France,Auvergne-Rhone-Alpes",https://en.wikipedia.org/wiki/Auvergne-Rh%C3%B4ne-Alpes
"France,ARA","France,Auvergne-Rhone-Alpes",https://en.wikipedia.org/wiki/Auvergne-Rh%C3%B4ne-Alpes
"France,MP,Caraman","France,Occitanie,Upper Garonne,Caraman",https://en.wikipedia.org/wiki/Occitanie
"France,Normandie","France,Normandy",
"Hungary,Borsod-Abaúj-Zemplén County","Hungary,Borsod-Abauj-Zemplen",
"Hungary,Csongrád County","Hungary,Csongrad",
"Hungary,Jász-Nagykun-Szolnok county","Hungary,Jasz-Nagykun-Szolnok",
"Hungary,Szabolcs-Szatmár-Bereg County","Hungary,Szabolcs-Szatmar-Bereg",
"Hungary,Bács-Kiskun County","Hungary,Bacs-Kiskun",
"India,MP","India,Madhya Pradesh",https://en.wikipedia.org/wiki/Madhya_Pradesh
"Israel,South District","Israel,Southern District",
"Israel,South Coast District","Israel,Southern District",
"Israel,North District","Israel,Northern District",
"Italy,Lombardia","Italy,Lombardy",https://www.geonames.org/advanced-search.html?q=Italy%2CLombardia
"Mexico,CDMX","Mexico,Mexico City",https://en.wikipedia.org/wiki/Mexico_City
"Mexico,Estado de Mexico","Mexico,Mexico",https://en.wikipedia.org/wiki/State_of_Mexico
"Mexico,DISTRITO FEDERAL","Mexico,Mexico City",https://en.wikipedia.org/wiki/Mexico_City
"Netherlands,Zuid-Holland","Netherlands,South Holland",https://en.wikipedia.org/wiki/South_Holland
"Netherlands,Zuid Holland","Netherlands,South Holland",https://en.wikipedia.org/wiki/South_Holland
"Netherlands,Noord Brabant","Netherlands,North Brabant",https://en.wikipedia.org/wiki/North_Brabant
"Netherlands,Noord-Holland","Netherlands,North Holland",https://en.wikipedia.org/wiki/North_Holland
"Netherlands,Noord Holland","Netherlands,North Holland",https://en.wikipedia.org/wiki/North_Holland
"Netherlands,Nootdorp","Netherlands,Gemeente Pijnacker-Nootdorp",https://en.wikipedia.org/wiki/Nootdorp
"New Zealand,Combined Wellington","New Zealand,Wellington",
"Pakistan,KPK","Pakistan,Khyber Pakhtunkhwa",https://en.wikipedia.org/wiki/Khyber_Pakhtunkhwa
"Panama,Panama Center","Panama,Panama",https://en.wikipedia.org/wiki/Panama
"Poland,Dolnoslakie","Poland,Lower Silesian",https://en.wikipedia.org/wiki/Lower_Silesian_Voivodeship
"Poland,Lodzkie","Poland,Lodz Voivodeship",https://www.geonames.org/advanced-search.html?q=Poland%2CLodzkie&country=&featureClass=&continentCode=
"Poland,Malopolska","Poland,Lesser Poland",https://www.geonames.org/advanced-search.html?q=Malopolska
"Poland,Pomorskie","Poland,Pomerania",https://en.wikipedia.org/wiki/Pomeranian_Voivodeship
"Poland,Mazowieckie","Poland,Mazovia",https://www.geonames.org/advanced-search.html?q=Mazowieckie&country=&featureClass=&continentCode=
"Poland,Pomorze","Poland,Pomerania",https://en.wikipedia.org/wiki/Pomeranian_Voivodeship
"Poland,Warminsko-Mazurskie","Poland,Warmia-Masuria",https://www.geonames.org/advanced-search.html?q=Warminsko-Mazurskie
"Russia,Buryat Republic","Russia,Buryatiya Republic",
"Russia,Republic of Bashkortostan","Russia,Bashkortostan Republic",
"Russia,Chechen Republic","Russia,Chechnya",
"Russia,Leningrad Region","Russia,Leningradskaya Oblast",
"Russia,Leningrad region","Russia,Leningradskaya Oblast",
"Russia,Republic of Kabardino-Balkaria","Russia,Kabardino-Balkariya Republic",
"Russia,Moscow Region","Russia,Moscow Oblast",
"Russia,Republic of Buryatia","Russia,Buryatiya Republic",
"Russia,Republic of Sakha (Yakutia)","Russia,Sakha",
"Russia,St.Petersburg","Russia,St.-Petersburg",
"Senegal,St-Louis","Senegal,Saint-Louis",
"Senegal,St-Louis (RTL)","Senegal,Saint-Louis",
"South Africa,KZN","South Africa,KwaZulu-Natal",
"South Africa,GP","South Africa,Gauteng",https://en.wikipedia.org/wiki/Gauteng
"Spain,Balear_Islands","Spain,balearic islands",
"Spain,Balear Islands","Spain,balearic islands",
"Spain,BasqueCountry","Spain,Basque Country",
"Spain,Basque_Country","Spain,Basque Country",
"Spain,Castilla la Mancha","Spain,Castille-La Mancha",
"Spain,Castilla La Mancha","Spain,Castille-La Mancha",
"Spain,Castilla-La Mancha","Spain,Castille-La Mancha",
"Spain,Catalunya","Spain,Catalonia",https://www.geonames.org/advanced-search.html?q=Spain%2CCatalunya%2C&country=&featureClass=&continentCode=
"Spain,Comunitat_Valenciana","Spain,Valencia",
"Spain,Comunitat Valenciana","Spain,Valencia",
"Spain,Navarra","Spain,Navarre",
"Spain,LaRioja","Spain,La Rioja",
"South Africa,KZN","South Africa,KwaZulu-Natal",https://www.geonames.org/search.html?q=KZN&country=ZA
"Switzerland,Basel Land","Switzerland,Basel-Landschaft",
"Switzerland,Basel-Land","Switzerland,Basel-Landschaft",
"Switzerland,St Gallen","Switzerland,Saint Gallen",
"Switzerland,Zürich","Switzerland,Zurich",
#
# Standardize second order administrative divisions
#
"Poland,Lodz Voivodeship,Belchatow County","Poland,Lodz Voivodeship,Powiat belchatowski",https://en.wikipedia.org/wiki/Be%C5%82chat%C3%B3w_County
"Poland,Lodz VoivodeshipSkierniewice County","Poland,Lodz Voivodeship,Powiat skierniewicki",https://en.wikipedia.org/wiki/Skierniewice_County
"Poland,Lodz Voivodeship,Pajeczno County","Poland,Lodz Voivodeship,Powiat pajeczanski",https://en.wikipedia.org/wiki/Paj%C4%99czno_County
"Poland,Wielkopolska,Kalisz","Poland,Greater Poland,Kalisz",https://www.geonames.org/advanced-search.html?q=Poland%2CKalisz&country=&featureClass=&continentCode=
"Switzerland,Basel Stadt","Switzerland,Basel-City,Basel-Stadt",
"Switzerland,Basel-Stadt","Switzerland,Basel-City,Basel-Stadt",
"United States,California,Orange County CA","United States,California,Orange County",
"United States,New York,Bronx","United States,New York,The Bronx",
"United States,Washington D.C.","United States,District of Columbia",
"United States,Washington DC","United States,District of Columbia",
"United States,Washington, D.C.,District of Columbia","United States,District of Columbia",
#
# Disambiguate city names
#

"Germany,Frankfurt","Germany,Frankfurt am Main",
"Argentina,Ciudad Autonoma de Buenos Aires","Argentina,Buenos Aires F.D."
"Austria,St. Anton","Austria,Tyrol,Politischer Bezirk Landeck,St Anton am Arlberg",
"United States,New York,Brooklyn","United States,New York,Kings County,Brooklyn",
"United States,New York,Manhattan","United States,New York,New York County,Manhattan",
"United States,New York,Queens","United States,New York,Queens County,Queens",
#
# Typos and inconsistencies
#
Bangaldesh,Bangladesh,
"Belgium,LiÃ¨ge","Belgium,Liege",
"Mexico,Tijuana,BajaCalifornia","Mexico,Baja California,Tijuana",
"JERUnited StatesLEM","Israel,Jerusalem",
Puerto_Rico,Puerto Rico,
"Taiwan*",Taiwan,
"United States,Alaska,Fairibanks","United States,Alaska,Fairbanks",
"United States,Alaska,Faribanks","United States,Alaska,Fairbanks",
"United States,New Orleans,LA","United States,Louisiana,New Orleans",
"United States,OHIO,COLUMBUS","United States,Ohio,Columbus",
"United States,Columbus OH","United States,Columbus,Ohio",
"United States,NY,NYC","United States,New York,New York",
"United States,Califonia","United States,California",
"United States,South Carolina,Richalnd County","United States,South Carolina,Richland County",
"United States,Mount Horeb,Wisconsin","United States,Wisconsin,Mount Horeb",
"United States,Wisconsin,Whitehall County","United States,Wisconsin,Trempealeau County,Whitehall",https://en.wikipedia.org/wiki/Whitehall,_Wisconsin
"United States,Wisconsin,Columbia County WI","United States,Wisconsin,Columbia County",
"United States,Wisconsin,Jefferson County WI","United States,Wisconsin,Jefferson County",
"United States,Dane County,Wisconsin","United States,Wisconsin,Dane County",
#
# US and Canadian State abbreviations
#
"United States,Ak","United States,Alaska",
"United States,AK","United States,Alaska",
"United States,AL","United States,Alabama",
"United States,AR","United States,Arkansas",
"United States,AZ","United States,Arizona",
"United States,CA","United States,California",
"United States,CO","United States,Colorado",
"United States,CT","United States,Connecticut",
"United States,DC","United States,District of Columbia",
"United States,DE","United States,Delaware",
"United States,FL","United States,Florida",
"United States,GA","United States,Georgia",
"United States,HI","United States,Hawaii",
"United States,IA","United States,Iowa",
"United States,ID","United States,Idaho",
"United States,IL","United States,Illinois",
"United States,IN","United States,Indiana",
"United States,KS","United States,Kansas",
"United States,KY","United States,Kentucky",
"United States,LA","United States,Louisiana",
"United States,MA","United States,Massachusetts",
"United States,MD","United States,Maryland",
"United States,ME","United States,Maine",
"United States,MI","United States,Michigan",
"United States,MN","United States,Minnesota",
"United States,MO","United States,Missouri",
"United States,MS","United States,Mississippi",
"United States,MT","United States,Montana",
"United States,NC","United States,North Carolina",
"United States,ND","United States,North Dakota",
"United States,NE","United States,Nebraska",
"United States,NH","United States,New Hampshire",
"United States,NJ","United States,New Jersey",
"United States,NM","United States,New Mexico",
"United States,NV","United States,Nevada",
"United States,NY","United States,New York",
"United States,OH","United States,Ohio",
"United States,OK","United States,Oklahoma",
"United States,OR","United States,Oregon",
"United States,PA","United States,Pennsylvania",
"United States,RI","United States,Rhode Island",
"United States,SC","United States,South Carolina",
"United States,SD","United States,South Dakota",
"United States,TN","United States,Tennessee",
"United States,TX","United States,Texas",
"United States,UT","United States,Utah",
"United States,VA","United States,Virginia",
"United States,VI","United States,Virgin Islands",
"United States,VT","United States,Vermont",
"United States,WA","United States,Washington",
"United States,WI","United States,Wisconsin",
"United States,WV","United States,West Virginia",
"United States,WY","United States,Wyoming",
"Canada,AB","Canada,Alberta",
"Canada,BC","Canada,British Columbia",
"Canada,MB","Canada,Manitoba",
"Canada,NB","Canada,New Brunswick",
"Canada,NL","Canada,Newfoundland and Labrador",
"Canada,NT","Canada,Northwest Territories",
"Canada,NS","Canada,Nova Scotia",
"Canada,NU","Canada,Nunavut",
"Canada,ON","Canada,Ontario",
"Canada,PE","Canada,Prince Edward Island",
"Canada,QC","Canada,Quebec",
"Canada,SK","Canada,Saskatchewan",
"Canada,YT","Canada,Yukon",
#
# Independent territories are represented as countries in GeoNames.org
#
"China,Hong Kong",Hong Kong,
"China,Taiwan",Taiwan,
"China,Macao",Macao,
"India,Nepal",Nepal,
West Bank and Gaza,Palestinian Territory,https://en.wikipedia.org/wiki/Palestinian_territories
#
# Oversea territories are represented as separate entities in GeoNames.org
#
"Denmark,Faroe Islands",Faroe Islands,
"Denmark,Greenland",Greenland,
"France,French Guiana",French Guiana,
"France,Martinique",Martinique,
"France,Mayotte",Mayotte,
"France,New Caledonia",New Caledonia,
"France,French Polynesia",French Polynesia,
"France,Guadeloupe",Guadeloupe,
"France,Reunion",Reunion,
"France,Saint Pierre and Miquelon",Saint Pierre and Miquelon,
"France,Saint Barthelemy","Saint Barthelemy",
"France,St Martin","Saint Martin",
"United States,AS",American Samoa,
"Netherlands,Aruba",Aruba,
"Netherlands,Curacao",Curacao,
"Netherlands,Sint Maarten",Sint Maarten,
"Netherlands,Sint Eustatius and Saba","Netherlands,Bonaire, Saint Eustatius and Saba",
"United States,American Samoa",American Samoa,
"United States,PR",Puerto Rico,
"United States,MP",Northern Mariana Islands,
"United States,GU",Guam,
"United States,Guam",Guam,
"United States,Virgin Islands",U.S. Virgin Islands,
"United Kingdom,Anguilla",Anguilla,
"United Kingdom,Bermuda",Bermuda,
"United Kingdom,Turks and Caicos Islands",Turks and Caicos Islands,
"United Kingdom,British Virgin Islands",British Virgin Islands
"United Kingdom,Falkland Islands (Malvinas)",Falkland Islands,
"United Kingdom,Channel Islands",Guernsey
"United Kingdom,Gibraltar",Gibraltar,
"United Kingdom,Cayman Islands",Cayman Islands,
"United Kingdom,Montserrat",Montserrat,
"United Kingdom,Isle of Man",Isle of Man,
#
# Cruise ships are not assigned to specific locations and are linked at 
# the World level in the geographical hierarchy
# Cruise ships should be mapped to "Cruiseship,Name of Cruiseship"
#
"Diamond Princess","CruiseShip,Diamond Princess",
"Canada,Diamond Princess","CruiseShip,Diamond Princess",
"MS Zaandam","CruiseShip,MS Zaandam",
"Canada,Grand Princess","CruiseShip,Grand Princess",
"Italy,Cruise ship","CruiseShip,Cruise ship",
"United States,Cruise_Ship_1,California","CruiseShip,Cruise_Ship_1",
"United States,Cruise_Ship_2,California","CruiseShip,Cruise_Ship_2",
